
# Surface 0 of 1 surfaces

# Curve title: ""potential-pos_inverted_contourtmp0.dat""

# Contour 0, label:        4
-0.0435311 -0.294167  3.4 
 0.0434239 -0.294184  3.4 
 0.130379 -0.268645  3.4 
 0.198816 -0.217441  3.4 
 0.217334 -0.198937  3.4 
 0.26858 -0.130486  3.4 
 0.294145 -0.0435311  3.4 
 0.294167  0.0434239  3.4 
 0.268642  0.130379  3.4 
 0.217334  0.198943  3.4 
 0.198943  0.217334  3.4 
 0.130379  0.268642  3.4 
 0.0434239  0.294167  3.4 
-0.0435311  0.294145  3.4 
-0.130486  0.26858  3.4 


# Contour 7, label:      3.3
-0.130486  0.277984  3.3 
-0.211499  0.217334  3.3 
-0.217441  0.211388  3.3 
-0.278051  0.130379  3.3 
-0.301098  0.0434239  3.3 
-0.301083 -0.0435311  3.3 
-0.277992 -0.130486  3.3 
-0.217441 -0.211405  3.3 
-0.211405 -0.217441  3.3 
-0.130486 -0.277992  3.3 
-0.0435311 -0.301083  3.3 
 0.0434239 -0.301098  3.3 
 0.130379 -0.278051  3.3 
 0.211388 -0.217441  3.3 
 0.217334 -0.211499  3.3 
 0.277984 -0.130486  3.3 
 0.301055 -0.0435311  3.3 
 0.301076  0.0434239  3.3 
 0.278043  0.130379  3.3 
 0.217334  0.211505  3.3 
 0.211505  0.217334  3.3 
 0.130379  0.278043  3.3 
 0.0434239  0.301076  3.3 
-0.0435311  0.301055  3.3 
-0.130486  0.277984  3.3 


# Contour 8, label:      3.2
-0.0435311  0.310778  3.2 
-0.0633938  0.304289  3.2 
-0.130486  0.287389  3.2 
-0.217441  0.22525  3.2 
-0.225354  0.217334  3.2 
-0.287457  0.130379  3.2 
-0.304396  0.0629925  3.2 
-0.310778  0.0434239  3.2 
-0.310754 -0.0435311  3.2 
-0.304396 -0.0629998  3.2 
-0.287402 -0.130486  3.2 
-0.225253 -0.217441  3.2 
-0.217441 -0.225253  3.2 
-0.130486 -0.287402  3.2 
-0.0629998 -0.304396  3.2 
-0.0435311 -0.310754  3.2 
 0.0434239 -0.310778  3.2 
 0.0629925 -0.304396  3.2 
 0.130379 -0.287457  3.2 
 0.217334 -0.225354  3.2 
 0.22525 -0.217441  3.2 
 0.287389 -0.130486  3.2 
 0.304289 -0.0633938  3.2 
 0.310778 -0.0435311  3.2 
 0.310812  0.0434239  3.2 
 0.304289  0.0634157  3.2 
 0.287443  0.130379  3.2 
 0.225379  0.217334  3.2 
 0.217334  0.225379  3.2 
 0.130379  0.287443  3.2 
 0.0634157  0.304289  3.2 
 0.0434239  0.310812  3.2 
-0.0435311  0.310778  3.2 


# Contour 9, label:      3.1
-0.0435311  0.322975  3.1 
-0.10073  0.304289  3.1 
-0.130486  0.296793  3.1 
-0.217441  0.240271  3.1 
-0.24037  0.217334  3.1 
-0.296862  0.130379  3.1 
-0.304396  0.100409  3.1 
-0.32298  0.0434239  3.1 
-0.322956 -0.0435311  3.1 
-0.304396 -0.100368  3.1 
-0.296812 -0.130486  3.1 
-0.240277 -0.217441  3.1 
-0.217441 -0.240277  3.1 
-0.130486 -0.296812  3.1 
-0.100368 -0.304396  3.1 
-0.0435311 -0.322956  3.1 
 0.0434239 -0.32298  3.1 
 0.100409 -0.304396  3.1 
 0.130379 -0.296862  3.1 
 0.217334 -0.24037  3.1 
 0.240271 -0.217441  3.1 
 0.296793 -0.130486  3.1 
 0.304289 -0.10073  3.1 
 0.322975 -0.0435311  3.1 
 0.323004  0.0434239  3.1 
 0.304289  0.100784  3.1 
 0.296844  0.130379  3.1 
 0.24039  0.217334  3.1 
 0.217334  0.24039  3.1 
 0.130379  0.296844  3.1 
 0.100784  0.304289  3.1 
 0.0434239  0.323004  3.1 
-0.0435311  0.322975  3.1 


